City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,vao,-22.67,167.48,73.44,86,28,9.64,NC,1605286788
176,auki,-8.77,160.7,78.64,81,98,3.02,SB,1605286788
177,preeceville,51.95,-102.67,16.11,95,2,10.87,CA,1605286788
178,esperance,-33.87,121.9,55.4,100,90,8.05,AU,1605286789
179,saint-pierre,-21.34,55.48,77.0,78,0,3.36,RE,1605286789
180,saint-leu,-21.15,55.28,77.0,78,0,3.36,RE,1605286789
181,bathsheba,13.22,-59.52,78.8,83,75,17.22,BB,1605286789
182,port elizabeth,-33.92,25.57,71.6,78,0,10.29,ZA,1605286789
183,talnakh,69.49,88.4,-20.2,75,40,4.47,RU,1605286789
184,lagoa,39.05,-27.98,64.99,81,100,16.22,PT,1605286789
185,vanavara,60.34,102.28,16.99,96,100,9.26,RU,1605286790
186,ponta do sol,32.67,-17.1,71.6,83,40,17.22,PT,1605286790
187,krasnoselkup,65.7,82.47,-15.68,88,9,7.0,RU,1605286790
188,teahupoo,-17.83,-149.27,78.8,74,20,4.7,PF,1605286790
189,zaozhuang,34.86,117.55,52.29,93,29,5.64,CN,1605286790
190,juli,-16.22,-69.45,55.56,35,0,8.34,PE,1605286791
191,saurimo,-9.66,20.39,70.32,88,88,2.53,AO,1605286791
192,zyryanka,65.75,150.85,-12.87,89,20,5.26,RU,1605286791
193,cayenne,4.93,-52.33,86.0,74,97,11.41,GF,1605286791
194,bosobolo,4.18,19.9,75.04,72,26,2.19,CD,1605286791
195,xam nua,20.42,104.04,52.36,75,0,0.96,LA,1605286791
196,biak,-0.91,122.88,78.33,82,25,1.52,ID,1605286792
197,samarai,-10.62,150.67,77.27,78,44,3.76,PG,1605286792
198,san rafael,-34.62,-68.33,71.67,59,96,8.7,AR,1605286792
199,husavik,66.04,-17.34,26.6,92,0,8.19,IS,1605286792
200,thompson,55.74,-97.86,5.0,92,90,5.82,CA,1605286623
201,faanui,-16.48,-151.75,79.21,75,0,8.21,PF,1605286793
202,sao paulo de olivenca,-3.38,-68.87,92.17,56,98,1.12,BR,1605286793
203,san patricio,28.02,-97.52,82.0,74,90,9.17,US,1605286793
204,kieta,-6.22,155.63,78.96,78,86,1.16,PG,1605286793
205,peruibe,-24.32,-47.0,77.4,76,100,5.14,BR,1605286716
206,kavaratti,10.57,72.64,82.81,77,0,6.33,IN,1605286794
207,okha,53.57,142.95,33.71,94,100,17.63,RU,1605286794
208,tuatapere,-46.13,167.68,57.99,62,100,8.01,NZ,1605286794
209,chitral,35.85,71.79,46.99,58,100,4.92,PK,1605286794
210,svetlogorsk,52.63,29.73,35.37,85,95,7.99,BY,1605286794
211,gazanjyk,39.24,55.52,45.73,52,12,4.09,TM,1605286794
212,nobres,-14.72,-56.33,94.93,37,34,5.91,BR,1605286795
213,talara,-4.58,-81.27,77.0,53,0,19.46,PE,1605286795
214,taksimo,56.34,114.88,15.1,91,100,0.47,RU,1605286795
215,kango,0.19,10.1,78.15,85,98,1.19,GA,1605286795
216,standerton,-26.93,29.24,70.0,63,21,3.6,ZA,1605286795
217,viedma,-40.81,-63.0,73.99,56,100,1.99,AR,1605286795
218,kahului,20.89,-156.47,73.4,73,40,13.87,US,1605286796
219,salisbury,51.07,-1.8,48.99,81,75,6.93,GB,1605286796
220,saint anthony,45.02,-93.22,28.99,67,1,5.82,US,1605286796
221,havoysund,71.0,24.66,41.0,80,75,19.46,NO,1605286796
222,tuktoyaktuk,69.45,-133.04,1.4,84,90,12.75,CA,1605286796
223,himare,40.1,19.74,60.8,72,40,3.36,AL,1605286796
224,catia la mar,10.6,-67.03,86.0,74,20,2.24,VE,1605286796
225,shirvan,39.95,48.9,48.58,76,96,4.05,AZ,1605286797
226,itoman,26.12,127.67,71.6,60,75,10.29,JP,1605286797
227,srandakan,-7.94,110.25,80.04,82,100,3.4,ID,1605286797
228,konya,38.17,32.5,44.6,65,0,4.54,TR,1605286771
229,semporna,4.48,118.61,77.0,94,20,3.36,MY,1605286797
230,chernitsyno,51.51,36.05,30.2,74,90,2.24,RU,1605286797
231,verkhnetulomskiy,68.61,31.8,37.4,93,75,4.47,RU,1605286798
232,jizan,17.33,42.67,84.2,83,75,3.36,SA,1605286798
233,cherskiy,68.75,161.3,-7.69,91,92,6.02,RU,1605286798
234,qasigiannguit,68.82,-51.19,21.2,62,75,16.11,GL,1605286798
235,siilinjarvi,63.08,27.67,37.4,86,90,6.93,FI,1605286798
236,simbahan,6.3,120.58,83.16,72,10,5.59,PH,1605286798
237,pundaguitan,6.37,126.17,83.8,74,24,11.86,PH,1605286799
238,lindi,-10.0,39.72,78.8,83,20,3.96,TZ,1605286799
239,novikovo,51.15,37.89,32.54,89,64,1.3,RU,1605286799
240,kruisfontein,-34.0,24.73,78.01,58,7,1.99,ZA,1605286799
241,walvis bay,-22.96,14.51,68.0,60,20,10.29,NA,1605286799
242,dukat,62.55,155.55,-14.04,89,24,0.51,RU,1605286799
243,tura,25.52,90.22,65.37,77,0,4.47,IN,1605286799
244,sidhi,24.42,81.88,73.44,52,47,2.55,IN,1605286800
245,provideniya,64.38,-173.3,21.99,92,93,17.63,RU,1605286800
246,bambous virieux,-20.34,57.76,75.99,83,20,3.36,MU,1605286800
247,camacha,33.08,-16.33,69.8,83,20,16.11,PT,1605286800
248,sabha,27.04,14.43,64.35,40,12,4.27,LY,1605286801
249,hobyo,5.35,48.53,79.88,73,4,12.71,SO,1605286801
250,soubre,5.79,-6.61,80.2,81,70,4.68,CI,1605286802
251,nalut,30.33,10.85,66.24,36,83,6.91,LY,1605286802
252,fortuna,40.6,-124.16,51.01,93,90,25.28,US,1605286804
253,chokurdakh,70.63,147.92,-14.33,90,3,3.83,RU,1605286807
254,raga,8.46,25.68,82.11,29,1,4.76,SS,1605286810
255,tadine,-21.55,167.88,73.47,84,34,6.13,NC,1605286811
256,lompoc,34.64,-120.46,46.4,93,20,3.36,US,1605286812
257,krk,45.03,14.57,57.2,76,40,1.74,HR,1605286812
258,chicama,-7.84,-79.15,68.0,72,75,11.41,PE,1605286813
259,carlagan,14.97,122.05,80.6,85,31,9.19,PH,1605286813
260,sergeyevka,53.88,67.42,25.57,98,100,9.4,KZ,1605286813
261,rovaniemi,66.5,25.72,37.4,100,90,11.41,FI,1605286814
262,gaoual,11.75,-13.2,94.24,24,0,3.65,GN,1605286814
263,phan thiet,10.93,108.1,75.79,89,86,3.65,VN,1605286814
264,sven,53.18,34.55,29.95,94,95,3.51,RU,1605286814
265,nanortalik,60.14,-45.24,30.4,88,99,4.72,GL,1605286815
266,bengkulu,-3.8,102.27,77.32,89,91,3.51,ID,1605286815
267,stolin,51.89,26.85,39.54,81,100,8.46,BY,1605286815
268,davila,18.47,120.58,79.61,85,67,19.15,PH,1605286816
269,berlevag,70.86,29.09,39.2,71,0,12.75,NO,1605286816
270,tessalit,20.2,1.01,80.89,15,0,9.17,ML,1605286816
271,evensk,61.95,159.23,2.55,83,0,6.91,RU,1605286817
272,sakaiminato,35.55,133.23,48.2,100,20,4.7,JP,1605286817
273,cockburn town,21.46,-71.14,81.43,77,82,21.88,TC,1605286817
274,luderitz,-26.65,15.16,62.44,80,1,2.86,NA,1605286817
275,quzhou,28.96,118.87,55.02,77,6,5.53,CN,1605286818
276,ercis,39.03,43.36,37.4,64,0,4.7,TR,1605286818
277,alice springs,-23.7,133.88,75.0,16,0,2.24,AU,1605286814
278,te anau,-45.42,167.72,52.83,71,100,8.39,NZ,1605286818
279,broome,42.25,-75.83,46.99,70,75,10.29,US,1605286796
280,salalah,17.02,54.09,80.6,65,0,3.36,OM,1605286819
281,namatanai,-3.67,152.43,79.47,80,66,3.62,PG,1605286819
282,havre-saint-pierre,50.23,-63.6,39.2,69,1,11.41,CA,1605286819
283,ostrovnoy,68.05,39.51,35.49,90,100,15.14,RU,1605286819
284,petatlan,17.52,-101.27,87.51,54,31,4.07,MX,1605286820
285,makakilo city,21.35,-158.09,75.2,78,40,5.82,US,1605286762
286,ribas do rio pardo,-20.44,-53.76,90.57,42,100,7.76,BR,1605286820
287,san policarpo,12.18,125.51,81.41,82,2,5.23,PH,1605286820
288,kanigiri,15.4,79.52,75.2,87,87,5.14,IN,1605286820
289,berdigestyakh,62.1,126.7,14.23,97,96,3.29,RU,1605286821
290,northam,51.03,-4.22,55.0,86,100,5.99,GB,1605286821
291,vila velha,-20.33,-40.29,84.2,62,20,8.05,BR,1605286821
292,kochki,54.34,80.48,26.65,89,100,10.2,RU,1605286821
293,santa vitoria,-18.84,-50.12,90.21,41,95,7.38,BR,1605286821
294,hayden,47.77,-116.79,33.01,98,90,9.17,US,1605286764
295,ipixuna,-1.76,-48.8,95.0,53,40,4.7,BR,1605286822
296,kirakira,-10.45,161.92,79.47,79,99,3.71,SB,1605286822
297,hualmay,-11.1,-77.61,70.99,62,98,12.57,PE,1605286822
298,novyye lyady,58.05,56.6,21.2,79,75,8.95,RU,1605286823
299,meulaboh,4.14,96.13,77.07,91,100,5.01,ID,1605286823
300,boende,-0.22,20.87,74.14,94,100,3.42,CD,1605286823
301,pionerskiy,54.95,20.23,41.0,93,90,6.71,RU,1605286823
302,mahebourg,-20.41,57.7,75.2,83,20,3.36,MU,1605286823
303,imbituba,-28.24,-48.67,78.8,74,40,12.75,BR,1605286824
304,half moon bay,37.46,-122.43,53.01,76,90,6.93,US,1605286725
305,birjand,32.87,59.22,50.0,93,90,6.93,IR,1605286824
306,baykit,61.67,96.37,11.61,92,99,5.14,RU,1605286824
